               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 145,            0.042247,            0.024547,            0.017372,             0.75829,             0.65179,             0.71565,             0.44319,            0.040898,            0.013073,            0.011196,            0.002872,            0.002872,            0.002872
                 146,            0.041898,            0.024284,             0.01706,             0.75697,              0.6535,             0.71621,             0.44381,            0.040884,            0.013069,             0.01119,           0.0028225,           0.0028225,           0.0028225
                 147,            0.042162,            0.024447,            0.016988,             0.75639,             0.65327,             0.71648,             0.44421,             0.04087,            0.013065,            0.011182,            0.002773,            0.002773,            0.002773
                 148,            0.042034,            0.024085,            0.017014,             0.75742,             0.65207,             0.71669,             0.44445,            0.040856,            0.013061,            0.011176,           0.0027235,           0.0027235,           0.0027235
                 149,            0.041595,            0.024167,            0.017002,             0.75895,             0.65097,             0.71636,             0.44422,            0.040842,            0.013057,             0.01117,            0.002674,            0.002674,            0.002674
                 150,            0.042204,            0.024471,            0.017042,             0.76299,               0.648,             0.71661,             0.44431,            0.040828,            0.013053,            0.011164,           0.0026245,           0.0026245,           0.0026245
                 151,             0.04162,            0.023937,             0.01649,             0.76013,             0.65035,             0.71687,             0.44461,            0.040815,             0.01305,             0.01116,            0.002575,            0.002575,            0.002575
                 152,            0.041559,            0.023642,            0.017126,             0.75855,              0.6506,             0.71668,             0.44482,            0.040802,            0.013046,            0.011154,           0.0025255,           0.0025255,           0.0025255
                 153,            0.041779,            0.024734,            0.016412,              0.7596,             0.65032,               0.717,              0.4454,            0.040787,            0.013042,            0.011146,            0.002476,            0.002476,            0.002476
                 154,            0.041933,            0.024757,            0.016244,                0.76,             0.65064,             0.71723,             0.44558,            0.040772,            0.013039,             0.01114,           0.0024265,           0.0024265,           0.0024265
                 155,             0.04125,            0.024116,            0.016349,              0.7614,             0.64841,              0.7171,             0.44581,            0.040758,            0.013036,            0.011136,            0.002377,            0.002377,            0.002377
                 156,            0.041839,            0.024474,            0.016785,             0.76326,             0.64802,              0.7173,             0.44591,            0.040745,            0.013032,            0.011132,           0.0023275,           0.0023275,           0.0023275
                 157,            0.041492,            0.023523,            0.017019,             0.76352,             0.64913,              0.7178,             0.44625,            0.040733,            0.013029,            0.011126,            0.002278,            0.002278,            0.002278
                 158,            0.041413,            0.024226,            0.015953,             0.76072,             0.64965,             0.71749,             0.44649,             0.04072,            0.013025,            0.011121,           0.0022285,           0.0022285,           0.0022285
                 159,            0.042223,            0.024072,            0.016642,             0.75909,             0.65074,             0.71765,             0.44668,            0.040708,            0.013021,            0.011117,            0.002179,            0.002179,            0.002179
